table	column	type	description
eligible_and_excluded_tables	chrom	string	GRCh38 chromosome or contig name.
eligible_and_excluded_tables	position	integer	GRCh38 1-based edited genomic position.
eligible_and_excluded_tables	ref	string	Genomic reference allele.
eligible_and_excluded_tables	alt	string	Genomic alternate allele.
eligible_and_excluded_tables	sequence	string	101-nt transcript-oriented sequence centered on the edited cytidine.
eligible_and_excluded_tables	transcript_strand	string	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	sequence_context	string	Source 101-nt transcript-oriented sequence; identical to sequence.
eligible_and_excluded_tables	sequence_length	integer	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	center_index	integer	Zero-based nucleotide index 50 in the un-tokenized 101-nt sequence.
eligible_and_excluded_tables	center_base	string	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	orientation_qc	string	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	transcript_oriented_ref	string	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	transcript_oriented_alt	string	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	corrected_editing_efficiency	number_or_NA	max(treated replicate-rate median - control replicate-rate median, 0).
eligible_and_excluded_tables	raw_edit_rate_difference	number_or_NA	Treated replicate-rate median minus control replicate-rate median before clipping.
eligible_and_excluded_tables	training_eligible	boolean_0_or_1	Frozen audit flag; requires at least 2/3 sufficiently covered replicates in each group plus audit QC.
eligible_and_excluded_tables	label_confidence	string	Frozen audit confidence; high requires 3+3 covered replicates and replicate-consistency thresholds.
eligible_and_excluded_tables	exclusion_reason	string	Explicit semicolon-delimited reason an audited row is not training eligible.
eligible_and_excluded_tables	CU517_GC_T1_usable_depth	integer	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	CU517_GC_T1_ref_count	integer	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	CU517_GC_T1_alt_count	integer	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	CU517_GC_T1_raw_edit_rate	number_or_NA	Audited source field retained for reproducibility and label traceability.
eligible_and_excluded_tables	CU517_GC_T1_edit_rate	number_or_NA	Audited source field retained for reproducibility and label traceability.
